word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
awkward,B1,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awk/awkwa/awkward__us_1.ogg
back,B1,A2,verb,"adjective, adverb, noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/back_/back__us_1.ogg
backup,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bac/backu/backup__us_1.ogg
bake,A2,B1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bak/bake_/bake__us_1.ogg
balance,B2,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bal/balan/balance__us_2.ogg
balloon,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bal/ballo/balloon__us_1.ogg
ballot,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bal/ballo/ballot__us_1.ogg
ban,B2,B1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ban/ban__/ban__us_1.ogg
bank,A2,A1,verb,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/ban/bank_/bank__us_1.ogg
bar,B1,A2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bar/bar__/bar__us_1.ogg
bare,B2,C1,verb,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bar/bare_/bare__us_1.ogg
barely,B1,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bar/barel/barely__us_1.ogg
barrel,B1,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bar/barre/barrel__us_1.ogg
baseball,A1,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/baseb/baseball__us_3.ogg
basement,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/basem/basement__us_1.ogg
basic,A2,B1,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/basic/basic__us_3.ogg
basically,A2,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/basic/basically__us_2.ogg
basket,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/baske/basket__us_1.ogg
basketball,A1,A2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bas/baske/basketball__us_2.ogg
bat,B1,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bat/bat__/bat__us_1.ogg
battery,A2,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/b/bat/batte/battery__us_4.ogg
